"ECO_ID","ECO_NAME","BIOME_NAME","REALM"
371,"Cook Inlet taiga","Boreal Forests/Taiga","Nearctic"
197,"Coolgardie woodlands","Mediterranean Forests, Woodlands & Scrub","Australasia"
372,"Copper Plateau taiga","Boreal Forests/Taiga","Nearctic"
590,"Cordillera Central p<U+00E1>ramo","Montane Grasslands & Shrublands","Neotropic"
456,"Cordillera La Costa montane forests","Tropical & Subtropical Moist Broadleaf Forests","Neotropic"
457,"Cordillera Oriental montane forests","Tropical & Subtropical Moist Broadleaf Forests","Neotropic"
591,"Cordillera de Merida p<U+00E1>ramo","Montane Grasslands & Shrublands","Neotropic"
788,"Corsican montane broadleaf and mixed forests","Mediterranean Forests, Woodlands & Scrub","Palearctic"
458,"Costa Rican seasonal moist forests","Tropical & Subtropical Moist Broadleaf Forests","Neotropic"
789,"Crete Mediterranean forests","Mediterranean Forests, Woodlands & Scrub","Palearctic"
658,"Crimean Submediterranean forest complex","Temperate Broadleaf & Mixed Forests","Palearctic"
6,"Cross-Niger transition forests","Tropical & Subtropical Moist Broadleaf Forests","Afrotropic"
7,"Cross-Sanaga-Bioko coastal forests","Tropical & Subtropical Moist Broadleaf Forests","Afrotropic"
390,"Cross-Timbers savanna-woodland","Temperate Grasslands, Savannas & Shrublands","Nearctic"
600,"Cuban cactus scrub","Deserts & Xeric Shrublands","Neotropic"
530,"Cuban dry forests","Tropical & Subtropical Dry Broadleaf Forests","Neotropic"
459,"Cuban moist forests","Tropical & Subtropical Moist Broadleaf Forests","Neotropic"
554,"Cuban pine forests","Tropical & Subtropical Coniferous Forests","Neotropic"
579,"Cuban wetlands","Flooded Grasslands & Savannas","Neotropic"
790,"Cyprus Mediterranean forests","Mediterranean Forests, Woodlands & Scrub","Palearctic"
693,"Da Hinggan-Dzhagdy Mountains conifer forests","Temperate Conifer Forests","Palearctic"
659,"Daba Mountains evergreen forests","Temperate Broadleaf & Mixed Forests","Palearctic"
726,"Daurian forest steppe","Temperate Grasslands, Savannas & Shrublands","Palearctic"
415,"Davis Highlands tundra","Tundra","Nearctic"
315,"Deccan thorn scrub forests","Deserts & Xeric Shrublands","Indomalayan"
660,"Dinaric Mountains mixed forests","Temperate Broadleaf & Mixed Forests","Palearctic"
92,"Djibouti xeric shrublands","Deserts & Xeric Shrublands","Afrotropic"
40,"Drakensberg Escarpment savanna and thicket","Tropical & Subtropical Grasslands, Savannas & Shrublands","Afrotropic"
41,"Drakensberg grasslands","Tropical & Subtropical Grasslands, Savannas & Shrublands","Afrotropic"
569,"Dry Chaco","Tropical & Subtropical Grasslands, Savannas & Shrublands","Neotropic"
42,"Dry miombo woodlands","Tropical & Subtropical Grasslands, Savannas & Shrublands","Afrotropic"
694,"East Afghan montane conifer forests","Temperate Conifer Forests","Palearctic"
69,"East African halophytics","Flooded Grasslands & Savannas","Afrotropic"
